Property,Time,Value
RightHandT.y,5.75000000,-0.14649810
RightHandT.y,6.58333300,-0.14922550
RightHandT.y,7.40000100,-0.15686390
RightHandT.y,8.23333400,-0.16139700
RightHandT.y,8.33333400,-0.16146560
RightHandT.z,0.00000000,0.00239257
RightHandT.z,0.13333330,0.00252654
RightHandT.z,0.23333330,0.00298559
RightHandT.z,0.38333340,0.00256376
RightHandT.z,0.46666670,0.00239402
RightHandT.z,0.55000000,0.00219359
RightHandT.z,0.63333340,0.00175374
RightHandT.z,0.80000010,0.00151759
RightHandT.z,0.93333340,0.00083342
RightHandT.z,1.01666700,0.00040437
RightHandT.z,1.08333300,0.00002895
RightHandT.z,1.16666700,-0.00035517
RightHandT.z,1.23333300,-0.00052304
RightHandT.z,1.31666700,-0.00068886
RightHandT.z,1.43333300,-0.00112445
RightHandT.z,1.53333300,-0.00135040
