Property,Time,Value
Neck Nod Down-Up,0.23333330,-0.02289648
Neck Nod Down-Up,0.26666670,-0.01358753
Neck Nod Down-Up,0.28333340,-0.00797319
Neck Nod Down-Up,0.30000000,-0.00209150
Neck Nod Down-Up,0.31666670,0.00413855
Neck Nod Down-Up,0.33333330,0.00936602
Neck Nod Down-Up,0.35000000,0.01246352
Neck Nod Down-Up,0.36666670,0.01284574
Neck Nod Down-Up,0.38333340,0.00878512
Neck Nod Down-Up,0.40000000,0.00258733
Neck Nod Down-Up,0.41666670,-0.00465269
Neck Nod Down-Up,0.43333340,-0.01106482
Neck Nod Down-Up,0.45000000,-0.01411077
Neck Nod Down-Up,0.46666670,-0.01472016
Neck Nod Down-Up,0.50000000,-0.00884480
Neck Nod Down-Up,0.51666670,-0.00461189
Neck Nod Down-Up,0.53333340,-0.00000073
Neck Tilt Left-Right,0.00000000,0.00000017
Neck Tilt Left-Right,0.01666667,0.01456807
Neck Tilt Left-Right,0.03333334,0.02599441
Neck Tilt Left-Right,0.05000000,0.02926694
Neck Tilt Left-Right,0.06666667,0.02685392
Neck Tilt Left-Right,0.10000000,0.00736895
Neck Tilt Left-Right,0.11666670,-0.00655655
Neck Tilt Left-Right,0.13333330,-0.02111267
Neck Tilt Left-Right,0.16666670,-0.04564352
Neck Tilt Left-Right,0.18333330,-0.04837037
Neck Tilt Left-Right,0.20000000,-0.04499091
Neck Tilt Left-Right,0.23333330,-0.02067443
Neck Tilt Left-Right,0.25000000,-0.00736591
Neck Tilt Left-Right,0.26666670,0.00422654
Neck Tilt Left-Right,0.28333340,0.01160452
Neck Tilt Left-Right,0.30000000,0.01481180
Neck Tilt Left-Right,0.31666670,0.01287700
Neck Tilt Left-Right,0.33333330,0.00634812
Neck Tilt Left-Right,0.35000000,-0.00516595
Neck Tilt Left-Right,0.36666670,-0.01981975
Neck Tilt Left-Right,0.40000000,-0.05340813
Neck Tilt Left-Right,0.43333340,-0.07530051
Neck Tilt Left-Right,0.46666670,-0.07110921
Neck Tilt Left-Right,0.50000000,-0.04055606
Neck Tilt Left-Right,0.51666670,-0.02090277
